ensembl,symbol,description,log2FoldChange,pvalue,padj,206161_sp_3d_tg,206176_sp_3d_tg,206177_sp_3d_tg,206167_sp_3d_tg,206168_sp_3d_tg,206214_sp_3d_tg,206229_sp_3d_tg,206174_sp_3d_wt,206175_sp_3d_wt,206158_sp_3d_wt,206165_sp_3d_wt,206166_sp_3d_wt,206215_sp_3d_wt,206227_sp_3d_wt
ENSMUSG00000040618,Pck2,phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1860456],1.250001368,2.6057E-11,1.00608E-08,243,296,336,362,248,377,392,124,188,112,137,176,130,91
ENSMUSG00000006642,Tcf23,transcription factor 23 [Source:MGI Symbol;Acc:MGI:1934960],3.14132775,2.84977E-11,1.07691E-08,20,97,189,175,112,123,175,8,9,15,17,36,6,7
ENSMUSG00000034528,Hsd17b13,hydroxysteroid (17-beta) dehydrogenase 13 [Source:MGI Symbol;Acc:MGI:2140804],2.467103016,4.48971E-11,1.66129E-08,85,621,511,719,256,663,437,102,98,139,116,16,105,62
ENSMUSG00000042354,Gnl3,guanine nucleotide binding protein-like 3 (nucleolar) [Source:MGI Symbol;Acc:MGI:1353651],0.590515011,4.64034E-11,1.68198E-08,552,466,514,559,391,702,708,408,439,434,422,242,416,303
ENSMUSG00000027313,Chac1,"ChaC, cation transport regulator 1 [Source:MGI Symbol;Acc:MGI:1916315]",3.337090276,5.86711E-11,2.08412E-08,22,81,68,81,32,100,54,0,5,5,3,19,4,4
ENSMUSG00000021831,Ero1l,ERO1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1354385],1.854757797,6.45952E-11,2.24956E-08,76,196,348,284,216,204,259,56,104,97,67,48,52,44
ENSMUSG00000026639,Lamb3,"laminin, beta 3 [Source:MGI Symbol;Acc:MGI:99915]",2.181056125,6.95306E-11,2.37487E-08,29,109,102,156,64,77,79,16,15,17,36,25,21,12
ENSMUSG00000031490,Eif4ebp1,eukaryotic translation initiation factor 4E binding protein 1 [Source:MGI Symbol;Acc:MGI:103267],1.65715224,7.12184E-11,2.38662E-08,168,329,496,418,149,430,384,78,150,95,119,121,102,93
ENSMUSG00000021282,Eif5,eukaryotic translation initiation factor 5 [Source:MGI Symbol;Acc:MGI:95309],0.784294039,8.94055E-11,2.94061E-08,1301,1553,1822,2185,1665,2082,2042,1157,1244,1192,1336,834,1052,848
ENSMUSG00000107198,Gm19619,"predicted gene, 19619 [Source:MGI Symbol;Acc:MGI:5011804]",6.306960073,1.14602E-10,3.70082E-08,0,13,22,25,13,14,10,0,0,0,0,0,0,0
ENSMUSG00000020142,Slc1a4,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:MGI Symbol;Acc:MGI:2135601]",1.594117819,1.28689E-10,4.06996E-08,89,78,112,86,95,101,121,36,59,31,19,41,21,24
ENSMUSG00000024493,Lars,leucyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1913808],0.835212881,1.30616E-10,4.06996E-08,372,444,516,571,475,657,671,320,364,293,314,246,320,274
ENSMUSG00000024991,Eif3a,"eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]",0.561383747,1.34659E-10,4.12359E-08,4110,3329,3889,3645,2897,4402,4656,2391,2970,3137,3104,1905,2808,2453
ENSMUSG00000074656,Eif2s2,"eukaryotic translation initiation factor 2, subunit 2 (beta) [Source:MGI Symbol;Acc:MGI:1914454]",0.917864052,1.78091E-10,5.36114E-08,265,434,406,491,253,534,438,252,249,252,256,147,229,160
ENSMUSG00000018848,Rars,arginyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1914297],1.032436638,1.94988E-10,5.77198E-08,686,1044,1058,1162,1046,1378,1520,546,587,755,712,295,666,484
ENSMUSG00000067869,Tcea1-ps1,"transcription elongation factor A (SII) 1, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1861432]",0.855017859,1.99681E-10,5.81398E-08,226,259,261,292,284,365,306,134,157,193,209,128,158,158
ENSMUSG00000023905,Tnfrsf12a,"tumor necrosis factor receptor superfamily, member 12a [Source:MGI Symbol;Acc:MGI:1351484]",1.748402028,2.05401E-10,5.88408E-08,38,71,93,116,97,67,82,28,21,24,27,28,31,17
ENSMUSG00000026234,Ncl,nucleolin [Source:MGI Symbol;Acc:MGI:97286],0.717780677,2.27774E-10,6.42143E-08,9891,8161,9596,9419,10049,12417,13193,6211,7780,7999,7453,3921,6781,5915
ENSMUSG00000001627,Ifrd1,interferon-related developmental regulator 1 [Source:MGI Symbol;Acc:MGI:1316717],1.421514093,2.73195E-10,7.58158E-08,408,1206,1422,1330,940,1192,1106,420,492,396,614,240,472,385
ENSMUSG00000038917,3930402G23Rik,RIKEN cDNA 3930402G23 gene [Source:MGI Symbol;Acc:MGI:1921277],2.601390894,2.78785E-10,7.61769E-08,10,20,32,31,29,16,39,1,7,5,5,3,6,4
ENSMUSG00000020256,Aldh1l2,"aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]",2.651382977,3.00038E-10,8.07419E-08,102,176,160,205,219,146,295,33,59,28,18,58,8,6
ENSMUSG00000029446,Psph,phosphoserine phosphatase [Source:MGI Symbol;Acc:MGI:97788],1.992407081,3.31662E-10,8.66946E-08,27,77,52,114,42,132,90,24,24,18,22,18,26,5
ENSMUSG00000095649,Gm8979,predicted gene 8979 [Source:MGI Symbol;Acc:MGI:3703149],-1.370902041,3.3192E-10,8.66946E-08,162,123,58,53,59,137,135,239,274,394,317,183,287,214
ENSMUSG00000009633,G0s2,G0/G1 switch gene 2 [Source:MGI Symbol;Acc:MGI:1316737],2.122129411,3.43488E-10,8.84158E-08,26,212,209,264,187,323,302,60,77,49,65,30,55,32
ENSMUSG00000043587,Pxylp1,2-phosphoxylose phosphatase 1 [Source:MGI Symbol;Acc:MGI:2442444],-0.685689007,4.01692E-10,1.01921E-07,154,123,148,126,130,163,151,270,308,257,261,146,233,196
ENSMUSG00000021226,Acot2,acyl-CoA thioesterase 2 [Source:MGI Symbol;Acc:MGI:2159605],1.855432537,1.66148E-09,4.15626E-07,197,649,478,1207,429,1366,799,275,178,132,271,130,244,196
ENSMUSG00000064351,mt-Co1,mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504],0.996527717,1.71826E-09,4.23861E-07,10804,21723,17378,23248,15330,21883,15794,7668,10419,10960,11187,7036,10256,8231
ENSMUSG00000022231,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]",-0.753929326,1.76705E-09,4.29925E-07,541,438,307,305,260,542,451,675,807,832,823,451,730,595
ENSMUSG00000011179,Odc1,"ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]",1.332650951,2.30161E-09,5.52416E-07,57,106,148,105,56,95,112,38,44,45,62,24,38,33
ENSMUSG00000068882,Ssb,Sjogren syndrome antigen B [Source:MGI Symbol;Acc:MGI:98423],0.383571835,2.61956E-09,6.20346E-07,2190,2040,1948,1886,1621,2572,2534,1687,1904,1820,1845,1144,1813,1453
ENSMUSG00000020303,Stc2,stanniocalcin 2 [Source:MGI Symbol;Acc:MGI:1316731],1.359934889,2.75696E-09,6.44295E-07,61,51,84,111,96,115,105,33,66,36,39,19,31,32
ENSMUSG00000041313,Slc7a1,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 [Source:MGI Symbol;Acc:MGI:88117]",0.890050507,3.68912E-09,8.50942E-07,588,1023,870,1057,828,1275,1268,626,587,650,696,292,628,423
ENSMUSG00000023883,Phf10,PHD finger protein 10 [Source:MGI Symbol;Acc:MGI:1919307],1.134354518,4.05831E-09,9.24098E-07,106,230,230,295,164,260,290,131,106,119,131,70,108,81
ENSMUSG00000036693,Nop14,NOP14 nucleolar protein [Source:MGI Symbol;Acc:MGI:1922666],0.525557568,4.93752E-09,1.11007E-06,444,347,390,372,320,465,474,259,317,316,344,204,305,269
ENSMUSG00000022221,Ripk3,receptor-interacting serine-threonine kinase 3 [Source:MGI Symbol;Acc:MGI:2154952],1.28937428,5.07041E-09,1.12569E-06,38,90,97,85,65,113,99,39,26,40,46,21,42,34
ENSMUSG00000117485,Gm19696,"predicted gene, 19696 [Source:MGI Symbol;Acc:MGI:5011881]",-1.553353762,5.16772E-09,1.13314E-06,16,36,20,20,6,38,16,78,45,79,83,52,71,44
ENSMUSG00000105053,Gm43064,predicted gene 43064 [Source:MGI Symbol;Acc:MGI:5663201],2.946242684,5.40287E-09,1.17025E-06,10,112,137,146,56,127,88,14,4,14,34,2,25,4
ENSMUSG00000031403,Dkc1,"dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]",0.561442089,5.85792E-09,1.25352E-06,872,766,718,768,572,944,906,580,550,724,601,360,587,467
ENSMUSG00000037010,Apln,apelin [Source:MGI Symbol;Acc:MGI:1353624],2.07052451,7.83148E-09,1.63641E-06,35,44,51,47,108,34,111,9,23,21,13,12,21,11
ENSMUSG00000040463,Mybbp1a,MYB binding protein (P160) 1a [Source:MGI Symbol;Acc:MGI:106181],0.523610076,7.80128E-09,1.63641E-06,678,566,554,702,558,802,748,452,480,570,536,366,498,394
ENSMUSG00000104528,Gm43314,predicted gene 43314 [Source:MGI Symbol;Acc:MGI:5663451],1.799969689,1.00726E-08,2.08024E-06,14,41,47,41,33,50,50,20,6,8,14,7,17,10
ENSMUSG00000015652,Steap1,six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608],2.079108072,1.42669E-08,2.87947E-06,56,79,135,152,84,97,167,20,28,23,17,56,25,9
ENSMUSG00000041168,Lonp1,"lon peptidase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1921392]",1.339645926,1.41073E-08,2.87947E-06,225,445,734,826,506,601,798,243,238,290,307,148,256,229
ENSMUSG00000026456,Cyb5r1,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267],0.92760941,1.44312E-08,2.87992E-06,226,260,336,422,210,320,407,181,198,212,187,118,143,147
ENSMUSG00000028333,Anp32b,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:MGI Symbol;Acc:MGI:1914878]",0.73041922,1.52752E-08,3.01449E-06,2164,1409,1608,1611,1643,2240,2592,1004,1159,1329,1510,760,1492,1009
ENSMUSG00000041360,Pum3,pumilio RNA-binding family member 3 [Source:MGI Symbol;Acc:MGI:106253],0.492296998,1.61078E-08,3.14386E-06,536,461,497,538,395,619,619,362,443,480,430,287,369,314
ENSMUSG00000022241,Tars,threonyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:106314],0.70248511,1.72191E-08,3.32423E-06,697,976,747,1055,718,1137,1121,605,574,706,590,452,598,516
ENSMUSG00000019814,Ltv1,LTV1 ribosome biogenesis factor [Source:MGI Symbol;Acc:MGI:2447810],0.85136147,1.76915E-08,3.34275E-06,160,230,232,278,145,296,286,134,138,153,166,73,138,128
ENSMUSG00000021149,Gtpbp4,GTP binding protein 4 [Source:MGI Symbol;Acc:MGI:1916487],0.661127195,1.75085E-08,3.34275E-06,593,602,624,739,521,802,906,405,573,515,491,249,508,400
ENSMUSG00000028029,Aimp1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:MGI Symbol;Acc:MGI:102774],0.671665362,1.96735E-08,3.67812E-06,429,513,521,655,397,618,596,387,385,436,387,208,361,275
ENSMUSG00000031370,Zrsr2,"zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2 [Source:MGI Symbol;Acc:MGI:103287]",0.549038417,2.07436E-08,3.83779E-06,508,366,411,392,322,451,455,332,300,343,364,210,286,226
ENSMUSG00000028811,Yars,tyrosyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2147627],0.702646341,2.42784E-08,4.44545E-06,160,178,204,207,164,206,175,131,120,126,144,100,116,90
ENSMUSG00000053012,Krcc1,lysine-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1889377],0.798109911,2.7722E-08,5.02418E-06,843,1317,1384,1516,826,1683,1299,874,701,810,906,541,839,583
ENSMUSG00000078622,Ccdc47,coiled-coil domain containing 47 [Source:MGI Symbol;Acc:MGI:1914413],0.562708039,3.67651E-08,6.59582E-06,490,614,626,722,466,706,716,432,469,452,522,316,481,368
ENSMUSG00000041028,Ghitm,growth hormone inducible transmembrane protein [Source:MGI Symbol;Acc:MGI:1913342],1.269400247,5.18262E-08,9.20484E-06,497,1391,1771,1861,1058,1748,1565,741,580,594,930,349,681,463
ENSMUSG00000076672,Ighv3-6,immunoglobulin heavy variable 3-6 [Source:MGI Symbol;Acc:MGI:4439856],-3.119637452,6.25212E-08,1.09944E-05,4,0,1,3,0,3,3,36,16,6,38,6,13,13
ENSMUSG00000029014,Dnajc2,DnaJ heat shock protein family (Hsp40) member C2 [Source:MGI Symbol;Acc:MGI:99470],0.609544324,6.73387E-08,1.17255E-05,353,387,363,365,338,386,473,255,273,318,290,157,296,231
ENSMUSG00000077734,Snord83b,"small nucleolar RNA, C/D box 83B [Source:MGI Symbol;Acc:MGI:3819557]",1.211273396,6.87366E-08,1.18527E-05,35,42,32,32,26,49,59,21,20,23,11,12,18,16
ENSMUSG00000028893,Sesn2,sestrin 2 [Source:MGI Symbol;Acc:MGI:2651874],1.286729622,7.22417E-08,1.23373E-05,42,95,120,129,63,152,104,45,62,42,50,36,29,33
ENSMUSG00000024359,Hspa9,heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245],1.172271797,9.90947E-08,1.67621E-05,1334,3009,2500,3191,3750,3875,4069,1782,1548,1700,1701,672,1610,1216
ENSMUSG00000022858,Tra2b,transformer 2 beta [Source:MGI Symbol;Acc:MGI:106016],0.495741336,1.00465E-07,1.68336E-05,982,778,890,1047,712,1165,1094,623,795,678,905,532,849,512
ENSMUSG00000028194,Ddah1,dimethylarginine dimethylaminohydrolase 1 [Source:MGI Symbol;Acc:MGI:1916469],1.409703242,1.05383E-07,1.73307E-05,26,42,63,51,46,45,70,21,10,21,29,16,25,13
ENSMUSG00000024613,Tcof1,treacle ribosome biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:892003],0.558179185,1.05102E-07,1.73307E-05,836,677,583,680,582,722,895,440,608,558,539,370,590,392
ENSMUSG00000029449,Rhof,ras homolog family member F (in filopodia) [Source:MGI Symbol;Acc:MGI:1345629],1.870318354,1.28661E-07,2.09646E-05,28,88,130,134,104,109,77,30,19,13,61,28,33,13
ENSMUSG00000102824,Pdcd5-ps,"programmed cell death 5, pseudogene [Source:MGI Symbol;Acc:MGI:3782009]",0.505565599,1.3031E-07,2.10404E-05,215,185,196,205,156,256,241,146,159,182,179,108,147,134
ENSMUSG00000022893,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 [Source:MGI Symbol;Acc:MGI:109249]",0.923140355,1.36363E-07,2.18194E-05,252,149,202,157,190,256,329,101,191,105,139,70,142,96
ENSMUSG00000118491,Zfp91,zinc finger protein 91 [Source:MGI Symbol;Acc:MGI:104854],0.520068739,1.45948E-07,2.31445E-05,968,884,700,826,840,948,1068,624,786,735,697,433,692,554
ENSMUSG00000073678,Pgap1,post-GPI attachment to proteins 1 [Source:MGI Symbol;Acc:MGI:2443342],1.273630193,1.60092E-07,2.51627E-05,167,497,557,723,446,433,572,226,197,219,282,158,235,165
ENSMUSG00000029623,Pdap1,PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536],0.547938908,1.69589E-07,2.64217E-05,1178,1129,1312,1336,818,1392,1223,847,844,1021,986,636,818,748
ENSMUSG00000028838,Extl1,exostosin-like glycosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1888742],2.181825614,1.97255E-07,3.04647E-05,10,33,47,52,29,38,48,14,6,9,19,3,11,0
ENSMUSG00000070529,Wfdc10,WAP four-disulfide core domain 10 [Source:MGI Symbol;Acc:MGI:3616889],-2.814362045,2.2013E-07,3.37046E-05,6,1,1,3,3,7,2,45,29,38,11,11,4,25
ENSMUSG00000031939,Taf1d,"TATA-box binding protein associated factor, RNA polymerase I, D [Source:MGI Symbol;Acc:MGI:1922566]",0.413630493,2.46905E-07,3.74811E-05,767,684,657,832,572,874,963,626,648,632,718,392,662,478
ENSMUSG00000036499,Eea1,early endosome antigen 1 [Source:MGI Symbol;Acc:MGI:2442192],0.306165823,2.50963E-07,3.77742E-05,970,782,802,890,688,1056,1014,737,896,779,909,523,756,596
ENSMUSG00000026548,Slamf9,SLAM family member 9 [Source:MGI Symbol;Acc:MGI:1923692],2.029412302,2.56241E-07,3.82445E-05,6,19,30,45,35,30,56,9,10,5,9,9,8,6
ENSMUSG00000020075,Ddx21,DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494],0.506919224,2.85237E-07,4.18686E-05,2102,2137,1901,2132,1907,2516,2708,1646,1930,2070,1702,964,1608,1358
ENSMUSG00000023067,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556],1.82263506,2.83345E-07,4.18686E-05,359,1744,3090,2561,1442,1883,1302,515,289,493,1094,378,654,360
ENSMUSG00000023307,Marchf5,membrane associated ring-CH-type finger 5 [Source:MGI Symbol;Acc:MGI:1915207],0.823117747,3.04417E-07,4.41306E-05,203,317,363,390,236,457,346,222,190,183,275,144,225,121
